seed,best_f,n_evals
1,0.05576418457321201,50000
2,0.03508101474243875,50000
3,0.0757704755832897,50000
4,0.08189847881389045,50000
5,0.08470035878248232,50000
6,0.03487779290494839,50000
7,0.018274809052622836,50000
8,0.056983385044867246,50000
9,0.026732074086550345,50000
10,0.060373192923316873,50000
11,0.026683157782864415,50000
12,0.053006135552886094,50000
13,0.0386420966544784,50000
14,0.020579480717519447,50000
15,0.06923290830731303,50000
16,0.04254664282153973,50000
17,0.03917639103846708,50000
18,0.05106228627415261,50000
19,0.025624148263218658,50000
20,0.02786633665617169,50000
