generation,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20
0,0.3588116004847409,0.37043302355280655,0.47128583855021655,0.5016785543535406,0.628562137811562,0.24670711019683214,0.36895918297378477,0.3755307280553981,0.2828612789400845,0.26829131435413184,0.3996636119836021,0.8805354770684928,0.380964978066016,0.6888324686609472,0.5822652045610417,0.2980430627511231,0.31442663735183807,0.24745155693663198,0.48216490405184315,0.4320183870176891
1,0.019465276283558434,0.21183032648531216,0.11289324546055976,0.14082775919825222,0.034163532933901404,0.0860495171584889,0.09681205571509162,0.10336126052840969,0.16578311099814114,0.10626644087932025,0.06938154143868958,0.11437950789517927,0.0797660937730359,0.13184418326366978,0.06299745021878958,0.07882398005734717,0.13812956191320555,0.07020485901789682,0.1393858819482032,0.08316552142343094
2,0.011880377607721355,0.018445119482529054,0.047522724340788546,0.03380160055812589,0.032449499494155244,0.018255725386923084,0.01789051325001732,0.048576831966783925,0.03254949812477167,0.004453165846270695,0.011305558810359289,0.035301997009398366,0.01694805743167436,0.03292957777768972,0.027048898228891533,0.05289279037555407,0.017028468210253805,0.020095634811139792,0.05194366993338655,0.021360302006392932
3,0.004001039202623442,0.009306041821015333,0.015935900487973546,0.0058738945815151105,0.0076079732731505235,0.0024201795514835873,0.006658328759051433,0.011542532008008373,0.008748425665886725,0.0021340882540576652,0.0036546089116885213,0.012175136159562094,0.0031314818719397532,0.010361696620772916,0.010349524873272628,0.027419193374486218,0.017019951815467473,0.016264710659189996,0.015281212220450554,0.0050440691219856
4,0.002247498402421595,0.003946339924867259,0.004362727458136666,0.0033453541899606315,0.0030852625372120262,0.0007339716219052433,0.0034966446572584527,0.0030305305872116,0.0021146976718924935,0.0005887815888915559,0.0010188693776147241,0.003661177384080628,0.0013547710095239897,0.0020948910719658436,0.00526663970990264,0.013051948053049997,0.003563523698142657,0.007277279998756724,0.005874324583148767,0.0029292048914945587
5,0.00205001740915566,0.0006137451070687107,0.004362727458136666,0.0014826255781322474,0.0014651306430339787,0.0007339716219052433,0.0005612661001941842,0.001597955681851018,0.0019772976695855934,0.0005887815888915559,0.0010188693776147241,0.0017345202339386161,0.0013547710095239897,0.001958261763643675,0.0020758328398979764,0.007859147958512454,0.0024946047953548905,0.001241069101186818,0.0019939648565488587,0.0012997929140714625
6,0.0004784671718459304,0.00013649062151485866,0.00162008482811949,0.0004655596437340461,0.000783191490270747,0.00016100743169596466,0.0004730329711385679,0.0007617363595486198,0.0013159653396568418,0.0005228185786412957,0.0006812587326325132,0.0017345202339386161,0.0009369072349307865,0.0010807721103464369,0.0008016021635107669,0.004972051203673203,0.0024946047953548905,9.817202749823478e-05,0.00124637668479754,0.0005585219064119881
7,0.00018895340614645835,0.00013649062151485866,0.0007217886844395058,0.0004655596437340461,0.0003530542546383575,0.00016100743169596466,0.0004730329711385679,0.0005317509263564326,0.0011382015400714564,0.0002125900557942242,0.0002962877168500222,0.000658883075864472,0.0002137368140787468,0.0007315417678325701,0.00036161895998890095,0.0019859232539143844,0.0005976079128943108,9.817202749823478e-05,0.000594412034298483,0.0005585219064119881
8,0.00018895340614645835,0.00013649062151485866,0.0004730667659978025,0.0004655596437340461,0.0002598788717667065,0.00016100743169596466,0.0003290902968243902,0.00017203972006963635,0.00043277389543129434,3.0067062830438662e-05,8.510790043915292e-05,0.0005980463212727168,9.32960250841246e-05,0.00029078170805284443,0.00024769965521141376,0.0007938218796078247,0.00044100575959130664,9.817202749823478e-05,0.0004508620574485325,0.00020260278450165892
9,8.612388914978601e-05,0.00010871107030651149,0.00038530588079721366,0.00024946312645234394,0.0001671703655271273,0.0001121888601269231,0.00018463278791080293,0.00015427371812224525,0.00043277389543129434,3.0067062830438662e-05,8.510790043915292e-05,0.00025600729282704586,9.32960250841246e-05,0.0002007267552141716,0.00022514060192731352,0.0007938218796078247,0.0003825673980396433,8.574378867998228e-05,0.00036058124670178444,0.00014083270424031761
