generation,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20
0,0.3588116004847409,0.37043302355280655,0.47128583855021655,0.5016785543535406,0.628562137811562,0.24670711019683214,0.36895918297378477,0.3755307280553981,0.2828612789400845,0.26829131435413184,0.3996636119836021,0.8805354770684928,0.380964978066016,0.6888324686609472,0.5822652045610417,0.2980430627511231,0.31442663735183807,0.24745155693663198,0.48216490405184315,0.4320183870176891
1,0.019465276283558434,0.19865894831356906,0.14615209396299927,0.15200428048800588,0.018826996707191002,0.08604751967936185,0.1185199450385556,0.10322713484261895,0.1608463764128816,0.09462401324041912,0.06944221703220498,0.11437950789517927,0.061130368885158326,0.12986906744440352,0.0630011241709645,0.08981124912979165,0.13802076554893492,0.06838103099925744,0.14725830784751018,0.07383535227693286
2,0.00950032926142319,0.019658733574616574,0.04795618416865293,0.03214092037285186,0.006008308883405663,0.021415840589418336,0.015197646963501676,0.03367885888528697,0.041210819690900846,0.014233702015227246,0.027897492666357833,0.06192712589074147,0.019783314379630473,0.01999482511332034,0.04327518576102,0.05538190956456642,0.02243250998197576,0.0172950446513469,0.06068807036826502,0.01482640153872682
3,0.007054272667496516,0.0097644712983518,0.023679861869608517,0.007562699706835241,0.0056113435612920315,0.004597589113957415,0.015197646963501676,0.00999504845552991,0.006050386170214775,0.003106102760984871,0.0025070624394140655,0.017659109446797966,0.0033450141114769135,0.012651479348517672,0.01297981798415263,0.015121411341288074,0.017254262680067918,0.012618386963118636,0.01686757647297719,0.004692247448133639
4,0.0046258930499001,0.003257616031203765,0.008770628568006443,0.002783991795919684,0.0013384479406597341,0.0010093391690644137,0.004543215803032752,0.0026327407616625826,0.005789085888348587,0.0002683646243767517,0.001135113035367924,0.0034820535108389863,0.003338314507423459,0.002028617991810638,0.00603119694441927,0.006745888732138163,0.007826527113699673,0.003183004437810653,0.005779222982052806,0.0008409691652603225
5,0.0030317094282865534,0.00024991981580570265,0.0059845530393994005,0.0014753812441404143,0.0009549718532960752,0.0005969372352200747,0.0009347422740215879,0.0015968624334395268,0.0037547087750430443,0.00021719078251966064,0.0010236100443907585,0.0034820535108389863,0.0007849666710428242,0.0018997546225552888,0.002376732182840662,0.002036789034663026,0.00562550456528017,0.0013517736469887919,0.0038502954743501357,0.00026223924493911103
6,0.0014857599318553005,6.14497012897534e-05,0.003404606956985429,0.0011678759538051708,0.0006705538462496061,0.00032938310941688743,0.0009347422740215879,0.000427732404891025,0.002031715044807201,0.00020639020002461754,0.0006395236015757378,0.002546717809500607,0.0005635779554108756,0.0004943341979202203,0.0010405367233763,0.0018709216460401925,0.004317882214028278,0.0007084470881919338,0.002894584640708021,0.00018240919872534772
7,0.0008573170584976298,1.2607520917774756e-05,0.002020104831239173,0.0008941915047090777,0.0002697062535383803,0.00015503943623221847,0.00032929161234026346,8.073747597581087e-05,0.0011697384753587127,7.625515624352643e-05,9.92848148229665e-05,0.0010503417703711093,0.0004432001169763076,0.00016310843311939885,0.0010405367233763,0.0010411554880591703,0.0018785008043920928,0.0004129512178626158,0.0015728982399430185,0.0001402104456025679
8,0.0005628947882040022,1.2607520917774756e-05,0.002020104831239173,0.0008258783961457766,0.00016059550557891866,5.894111613868711e-05,6.756959785847683e-05,4.531957341149086e-05,0.0006497239127079955,6.269942770610903e-05,9.390464451538769e-05,0.0010503417703711093,0.0003880297719625753,0.00016310843311939885,0.0009415420943675925,0.0009226649770967489,0.0015076513162689139,0.00020956866355621457,0.0012034037380293573,8.38645034754415e-06
9,0.0003018791031723637,1.2607520917774756e-05,0.0012639201794653417,0.00038244060092257153,0.0001469103639052639,3.5187363684618886e-05,3.859290953456075e-05,2.7860723931977218e-05,0.0006331678862635664,5.777684610644743e-05,5.137701901777678e-05,0.0007951927081422155,0.00026922087193247287,0.0001590533758471702,0.00048823874231620633,0.0008933159578645416,0.0010383381329182523,0.00017781097677386232,0.0007387206620554474,6.93838858642061e-06
10,0.00016084578616259478,1.2607520917774756e-05,0.000935671953085455,0.000306823020840532,0.00011735710400636498,2.9455954408506275e-05,3.859290953456075e-05,1.528218111989884e-05,0.0005034863356442579,3.833506156998454e-05,3.026132315333718e-05,0.0004490512911201537,0.00012353261542491704,0.00012724582760021563,0.00035881984284028424,0.0005738497279424409,0.0005333449747003792,9.567553826157779e-05,0.0005792960846394182,6.93838858642061e-06
11,0.00014333233140770537,1.2607520917774756e-05,0.0007304849151465433,0.000306823020840532,0.00011735710400636498,2.9455954408506275e-05,3.1383395574548724e-05,1.1575490840993203e-05,0.0004906512193233196,3.557906819210005e-05,2.9500341456842587e-05,0.0003853108163210663,0.0001196481509975488,8.072902009469191e-05,0.00011071090360008343,0.0003531616186570966,0.0003741937026050049,7.394075026813163e-05,8.512431660368315e-05,6.752148914608662e-06
12,7.890261807096016e-05,1.1962925736245509e-05,0.00029295427341043513,0.00010272758537596621,8.278986500485757e-05,2.5225084824548786e-05,1.4858281003324302e-05,7.845483658987152e-06,0.0001417248322976045,1.6193557387721955e-05,2.948392807446065e-05,0.00028394243001922094,8.72785009971954e-05,6.210677656864017e-05,7.545059853864979e-05,0.0002400788684002527,0.00018053756094618854,6.0261667749906114e-05,8.512431660368315e-05,6.394570121944271e-06
