series,best,mean,median,std,worst
A (p_m=0.1),7.86665412296269e-15,1.1517512717545488e-13,7.731887193508474e-14,1.1215193812420905e-13,3.7369536253783146e-13
B (p_m=0.3),6.158983759788832e-09,5.911391983527943e-08,4.46850217501465e-08,5.184106675452902e-08,1.9715522089271468e-07
random search,0.018274809052622836,0.0462437675288115,0.04086151693000341,0.020477710586330532,0.08470035878248232
